type,title,content,url,postedAtISO,timeSincePosted,source_name,source_icon
linkedin_post,"Thanks to our #CultureClub team who organised yet another fantastic event for us this week. The 'Great Garden Bake off' challenge was to bake using fresh fruits and vegetables. Congratulations to all those who took part and our winner Feonix Tahany.","Thanks to our #CultureClub team who organised yet another fantastic event for us this week. The 'Great Garden Bake off' challenge was to bake using fresh fruits and vegetables. Congratulations to all those who took part and our winner Feonix Tahany.","https://www.linkedin.com/posts/ideal-networks-ltd_weareideal-cultureclub-bakeoff-activity-7346144042109353985-ie2-?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEPEv94BTTRP8eEGaPoYtblp-iZUDdlaDmA","2025-07-02T11:53:44.395Z","1w",,
linkedin_post,"A huge thanks to Palo Alto Networks for allowing us to host our Secure by Design event at their fabulous offices on 55th floor of 22 Bishopsgate.","A huge thanks to Palo Alto Networks for allowing us to host our Secure by Design event at their fabulous offices on 55th floor of 22 Bishopsgate.\n\nSurrounded by fabulous views across a London bathed in glorious summer sunshine, we listened to our expert speakers and panel Peter Bury  Tim De Boeck  Simon Hodgkinson Stuart Wright Daniel Cope  and Pax Zoega discuss their experiences of adopting safe AI.\n\nFrom wild west to locked down and popcorn analogies, we learnt how some organisations are leading the way in using AI for business operations and the challenges and risks they all face with their how use cases.\n\n#securebydesign #AIAdoption","https://www.linkedin.com/posts/ideal-networks-ltd_securebydesign-aiadoption-activity-7341110366011117569-MNuz?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEPEv94BTTRP8eEGaPoYtblp-iZUDdlaDmA","2025-06-18T14:31:42.492Z","3w",,
linkedin_post,"🚀 Day 1 at #CiscoLive #CLUS in San Diego - what an incredible start!","🚀 Day 1 at #CiscoLive #CLUS in San Diego - what an incredible start!\n\nFantastic to see Denise Lee Yeh taking the main stage to showcase the transformative benefits of the #IntelligentReadyBuildings model, a consortium-driven approach that's reshaping how we think about smart infrastructure.\n\nThe collaboration between Cisco Schneider Electric Ideal PARA and Sidara is driving real innovation in the #SmartBuildings sector, delivering solutions at the scale and pace our clients need for better outcomes.\n\nAlso thrilled about the exciting developments in #FaultManagedPower #FMP - simplified, efficient solutions that streamline both IT and Power installations. The future of building infrastructure is here!\n\nGreat work by Yesu (Andrew) Lu and the entire team. Looking forward to more insights from David Grundy at #CiscoLive!\n\n#BuildingTech #Innovation #Partnership #SmartInfrastructure","https://www.linkedin.com/posts/ideal-networks-ltd_ciscolive-clus-intelligentreadybuildings-activity-7338138837585461250-stve?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEPEv94BTTRP8eEGaPoYtblp-iZUDdlaDmA","2025-06-10T09:43:54.907Z","1mo",,
linkedin_post,"🚨 New Blog Alert! 🚨","🚨 New Blog Alert! 🚨\nNo-one can escape AI. It’s not just a hot topic, it’s everywhere! Whilst we all know that AI can advance productivity and streamline operations, with it comes a huge amount of risk and unprecedented cybersecurity challenges. \n\nOur latest blog post, \"From Shadow AI to Prompt Injection and Model Poisoning: The New Threat Landscape for AI-Enabled Enterprises,\" dives deep into these emerging threats and offers practical strategies for building secure-by-design AI systems.\n\n🔍 Key Highlights include:\n\n▪️ PROMPT INJECTION ATTACKS: Learn how attackers manipulate AI models and discover robust mitigation strategies.\n▪️ AUTONOMOUS AGENT COMPROMISE: Understand the risks of AI agents turning into malicious insiders and how to safeguard against them.\n▪️ AI-GENERATED CODE VULNERABILITIES: Explore the security trade-offs of using LLM code generators and effective safeguards.\n\nThese are also a few of the discussion points we’ll be covering in partnership with Palo Alto Networks and Exclusive Networks UK on 18 June 2025 at our \"SECURE BY DESIGN: Protecting Enterprise Intelligence\" workshop in London, where industry leaders will share their insights and practical frameworks for accelerating secure AI adoption.\n\n📖 Read the full blog here https://lnkd.in/eKJVifte \n\nOr learn more about the workshop at https://lnkd.in/eb45dwBE\n\n#AI #Cybersecurity #AIInnovation #SecureByDesign #EnterpriseSecurity","https://www.linkedin.com/posts/ideal-networks-ltd_from-shadow-ai-to-prompt-injection-and-model-activity-7329105867478360064-Kazr?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEPEv94BTTRP8eEGaPoYtblp-iZUDdlaDmA","2025-05-16T11:30:07.009Z","1mo",,
linkedin_post,"It’s not every day you come to work and get to climb under a warm towel, close your eyes and have the muscles soothed in your back and shoulders with a tension easing massage.","It’s not every day you come to work and get to climb under a warm towel, close your eyes and have the muscles soothed in your back and shoulders with a tension easing massage.\n\nWell today, that is exactly what happened when we came into the office. Championing the theme for this years’ #MentalHealthAwarenessWeek of Community, Ideal’s Culture Club treated our Ideal community, by offering all employees the chance to unwind with a massage, delivered by Katie from Retreat.\n\nMassage really can have a powerful positive impact on stress and stress-related mental health challenges, helping to calm the mind by activating neurotransmitters that reduce anxiety and lower stress hormone levels, while also easing physical tension.\n\nSo this afternoon, you’ll find the team super chilled, recharged and celebrating our great community!\n\nA big thank you to #cultureclub","https://www.linkedin.com/posts/ideal-networks-ltd_mentalhealthawarenessweek-cultureclub-activity-7328418864269062144-RJLT?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEPEv94BTTRP8eEGaPoYtblp-iZUDdlaDmA","2025-05-14T14:00:12.680Z","1mo",,
linkedin_post,"🌟 Ever wondered why managing a Smart Building requires a modern approach to networked environments? 🌟","🌟 Ever wondered why managing a Smart Building requires a modern approach to networked environments? 🌟\n\nIn this blog, Ideal’s Smart Building Director Jeremy Stevens considers the complexities and benefits of #SmartBuilding management. Discover how companies are rethinking the structures that support this innovative form of #NetworkManagement, transcending job roles and teams and how Ideal deliver #SmartManaged to their customers. 🏢💡\n\n🔗https://lnkd.in/eJPs7Siw\n\n#Innovation #Technology #BuildingManagement #SmartTech #IoT #FutureOfWork","https://www.linkedin.com/posts/ideal-networks-ltd_smartbuilding-networkmanagement-smartmanaged-activity-7326202967575965697-qQNC?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEPEv94BTTRP8eEGaPoYtblp-iZUDdlaDmA","2025-05-08T11:15:01.739Z","2mo",,
linkedin_post,"Congratulations to Co-op Live for an incredible first year since opening in May 2024 and reaching the top of the UK and Europe arena rankings.","Congratulations to Co-op Live for an incredible first year since opening in May 2024 and reaching the top of the UK and Europe arena rankings.\n\n#worldclassarena #citytransofmation #amazingvenue","https://www.linkedin.com/posts/ideal-networks-ltd_what-an-incredible-year-with-co-op-live-activity-7323608466441256961-6LtY?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEPEv94BTTRP8eEGaPoYtblp-iZUDdlaDmA","2025-05-01T07:25:24.465Z","2mo",,
linkedin_post,"Adopting AI technology presents numerous opportunities, but it also comes with significant challenges. Our Secure by Design half-day workshop, will enable C-suite leaders to gain strategic insights to accelerate secure AI adoption and stay ahead in the digital age. 🚀","Adopting AI technology presents numerous opportunities, but it also comes with significant challenges. Our Secure by Design half-day workshop, will enable C-suite leaders to gain strategic insights to accelerate secure AI adoption and stay ahead in the digital age. 🚀\n\n🗓️ Date: Wednesday 18th June📍 Location: 22 Bishopsgate\n\nWe are thrilled to introduce our esteemed speakers:\n\nPeter Bury AI Domain Consultant Palo Alto Networks\nKaty Fairchild CISO, GlobalData Plc\nJames Hamon CISO Financial Ombudsman Service\nSimon Hodgkinson Head of AI British Red Cross\nMichael Moulsdale Product and Technology Leader AI Mitie\nErin Young Head of Innovation & technology Policy Institute of Directors (IoD)\n\nThese industry leaders will share their expertise on the latest trends and best practices in secure AI adoption. Don't miss this opportunity to learn from the best! 🌟\n\n🔒 Register here: https://lnkd.in/eb45dwBE\n\n #SecureByDesign #AIAdoption #CsuiteLeadership #Innovation #CyberSecurity","https://www.linkedin.com/posts/ideal-networks-ltd_securebydesign-aiadoption-csuiteleadership-activity-7323303883500408832-szlg?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEPEv94BTTRP8eEGaPoYtblp-iZUDdlaDmA","2025-04-30T11:15:06.233Z","2mo",,
linkedin_post,"🐰 Chocolate Egg Hunt Extravaganza at Ideal! 🥚","🐰 Chocolate Egg Hunt Extravaganza at Ideal! 🥚\n\nEaster might be over, but the fun continues at Ideal! Today, we hosted our annual Easter egg hunt, and the office was buzzing with excitement as teams raced around to find the most hidden eggs. 🏃‍♂️🏃‍♀️\n\nA huge congratulations to our champion egg hunter, Samson Vaz, who collected the most eggs! 🏆🥳\n\n🌸🌼 A big shoutout to everyone who participated and a special thanks to Team #CultureClub for organising this fantastic event. \n\n#EasterEggHunt #TeamBuilding #OfficeFun #SpringCelebration #WorkplaceCulture","https://www.linkedin.com/posts/ideal-networks-ltd_cultureclub-easteregghunt-teambuilding-activity-7322618980358119424-W8MT?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEPEv94BTTRP8eEGaPoYtblp-iZUDdlaDmA","2025-04-28T13:53:32.599Z","2mo",,
linkedin_post,"🚀 We're recruiting! 🚀","🚀 We're recruiting! 🚀\n\nDue to growth, we are currently looking to recruit for roles within our sales and engineering teams.\n\n🔒 Senior Cyber Security & Networking Engineer 🔒 \n\nThis role plays a key role in the Project Engineering team, being a time-served engineer with extensive experience and a subject matter expert in the Network and Security fields. If you are able to dive deep into designing, delivering, and resolving complex technical issues, and work on managing, maintaining, and bettering the services we deliver, we'd love to talk to you! \n#CyberSecurity #Networking #EngineeringJobs #TechCareers\n\n💼 Account Executive 💼 \n\nThis role is at the forefront of our business development efforts, identifying and qualifying new sales opportunities for our IT services and solutions. You’ll work closely with our sales and marketing teams to generate leads, build relationships, and create pathways for business growth. \n#SalesJobs #BusinessDevelopment #ITServices #CareerOpportunity\n\nInterested to know more - full job descriptions can be found here https://lnkd.in/eHR_ztkK\n\n#inspiringworkplace #brilliantminds #awardwinningcompany #teamideal","https://www.linkedin.com/posts/ideal-networks-ltd_careers-ideal-activity-7321126556049842178-le_F?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEPEv94BTTRP8eEGaPoYtblp-iZUDdlaDmA","2025-04-24T11:03:10.916Z","2mo",,
